City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,2.21,81,18,8.08,GS,1682356765
1,waitangi,-43.9535,-176.5597,11.89,51,92,14.07,NZ,1682356766
2,basco,20.4487,121.9702,24.83,79,45,7.09,PH,1682356294
3,vorgashor,67.5833,63.95,-7.96,96,94,4.8,RU,1682356664
4,margaret river,-33.95,115.0667,12.75,77,96,7.54,AU,1682356766
5,east london,-33.0153,27.9116,21.52,83,0,4.63,ZA,1682356737
6,port-aux-francais,-49.35,70.2167,4.12,62,32,8.15,TF,1682356767
7,mirny,62.5353,113.9611,-15.09,99,28,0.45,RU,1682356767
8,ancud,-41.8697,-73.8203,12.98,80,28,5.84,CL,1682356768
9,alofi,-19.0595,-169.9187,22.94,88,75,1.54,NU,1682356198
10,ilulissat,69.2167,-51.1,1.01,93,75,3.6,GL,1682356768
11,paracatu,-17.2222,-46.8747,29.54,38,9,3.06,BR,1682356769
12,iqaluit,63.7506,-68.5145,0.85,93,100,2.57,CA,1682356769
13,cobija,-11.0267,-68.7692,33.1,62,40,2.57,BO,1682356770
14,ushuaia,-54.8,-68.3,6.81,76,100,1.54,AR,1682356770
15,puerto deseado,-47.7503,-65.8938,20.35,28,0,10.31,AR,1682356770
16,nova sintra,14.8667,-24.7167,20.19,73,2,9.23,CV,1682356572
17,redwood falls,44.5394,-95.1169,7.97,46,75,4.63,US,1682356771
18,gebeit,21.0667,36.3167,24.0,56,70,5.09,SD,1682356321
19,badger,64.8,-147.5333,-10.86,49,75,8.23,US,1682356771
20,bilibino,68.0546,166.4372,-16.44,80,3,2.59,RU,1682356771
21,garoowe,8.4054,48.4845,29.65,53,76,9.01,SO,1682356716
22,keflavik,64.0049,-22.5624,8.95,70,75,1.54,IS,1682356704
23,papatowai,-46.5619,169.4708,12.01,73,95,9.01,NZ,1682356663
24,west island,-12.1568,96.8225,26.99,78,40,9.77,CC,1682356772
25,bethel,41.3712,-73.414,15.11,48,75,3.09,US,1682356772
26,port alfred,-33.5906,26.891,20.66,90,100,1.34,ZA,1682356773
27,sihanoukville,10.6093,103.5296,25.97,89,40,1.54,KH,1682356773
28,mizque,-17.941,-65.3402,22.92,48,34,2.88,BO,1682356773
29,edinburgh of the seven seas,-37.0676,-12.3116,15.48,64,72,8.69,SH,1682356774
30,vila velha,-20.3297,-40.2925,26.97,69,40,5.14,BR,1682356437
31,utrik,11.2278,169.8474,26.79,83,100,9.53,MH,1682356775
32,aasiaat,68.7098,-52.8699,0.22,94,100,2.62,GL,1682356776
33,geraldton,-28.7667,114.6,15.23,72,75,3.6,AU,1682356776
34,crane,31.3974,-102.3501,14.36,65,98,6.92,US,1682356776
35,mugia,43.1041,-9.2179,18.42,89,100,6.14,ES,1682356777
36,hermanus,-34.4187,19.2345,16.0,84,0,5.97,ZA,1682356777
37,ribeira grande,38.5167,-28.7,19.22,82,20,6.26,PT,1682356777
